"DATE;HORA;precio;demanda_casa;demanda_bateria;energia_bateria;precio_kwh_tipo"
"2025-03-19;1;0,04668;0,0818878784775734;2,0682782615297831e-10;2,0682783329376103e-10;0"
"2025-03-19;2;0,044020000000000004;0,1887139528989792;-7,270819738627807e-11;1,341196346869679e-10;0"
"2025-03-19;3;0,039920000000000004;0,22191865742206573;-2,21481917351717e-11;1,1197144423518516e-10;0"
"2025-03-19;4;0,03501;0,05603928864002228;0,06077806955355817;0,06077806966552962;0"
"2025-03-19;5;0,03501;0,10403276979923248;-0,06077800763374592;6,203178371467407e-08;0"
"2025-03-19;6;0,035;0,10996700823307037;0,2920694208860722;0,2920694829178559;0"
"2025-03-19;7;0,075;0,08943304419517517;-0,08943304418178442;0,20263643873607146;0"
"2025-03-19;8;0,11738;0,07160463184118271;-0,07160463183487484;0,13103180690119665;0"
"2025-03-19;9;0,03501;0,1310318559408188;-0,13103180686355723;3,763941810506889e-11;0"
"2025-03-19;10;0,02019;0,199520543217659;1,1836448793208296e-12;3,8823057276985844e-11;0"
"2025-03-19;11;0,006;0,34119904041290283;5,6469049397097766e-11;9,52921066083209e-11;0"
"2025-03-19;12;0,00022;0,4050847887992859;2,3712122103634e-09;2,466504318120394e-09;0"
"2025-03-19;13;0,0;0,3274192214012146;0,3408036045550227;0,340803607021527;0"
"2025-03-19;14;0,0;0,2870236039161682;0,14264866173702279;0,48345226875854974;0"
"2025-03-19;15;0,0;0,28145259618759155;0,1417264013461905;0,6251786701047403;0"
"2025-03-19;16;0,0;0,24504722654819489;0,34982132450565967;0,9749999946103999;0"
"2025-03-19;17;0,0001;0,22817125916481018;5,232180246178396e-09;0,9749999998425802;0"
"2025-03-19;18;0,0036;0,23049648106098175;3,135621685308351e-11;0,9749999998739364;0"
"2025-03-19;19;0,031100000000000003;0,30352669954299927;-0,3035266995194393;0,6714733003544969;0"
"2025-03-19;20;0,03668;0,20699723064899445;-0,20699723063008169;0,4644760697244153;0"
"2025-03-19;21;0,05296;0,11724822223186493;-0,11724822221994835;0,34722784750446695;0"
"2025-03-19;22;0,038259999999999995;0,035627029836177826;-0,035627029818311264;0,31160081768615566;0"
"2025-03-19;23;0,03034;0,1475568413734436;-0,14755684134912703;0,1640439763370286;0"
"2025-03-19;24;0,01609;0,13480374217033386;-0,13480374210311863;0,029240234233909982;0"
"2025-03-20;1;0,00789;0,08768043667078018;-0,02924023394154718;2,9236283873762695e-10;0"
"2025-03-20;2;0,006;0,1470002830028534;-6,859872243784726e-11;2,2376411971530885e-10;0"
"2025-03-20;3;0,00352;0,20630133152008057;0,3272024424031339;0,327202442626898;0"
"2025-03-20;4;0,00352;0,21434858441352844;0,13750620373538325;0,4647086463622812;0"
"2025-03-20;5;0,00352;0,21825435757637024;0,11726062105512088;0,5819692674174023;0"
"2025-03-20;6;0,00352;0,1865253448486328;0,22391373015001717;0,8058829975674195;0"
"2025-03-20;7;0,006;0,15639503300189972;-0,1563950327802668;0,6494879647871526;0"
"2025-03-20;8;0,009699999999999999;0,2098727524280548;-0,2098727523391063;0,4396152124480463;0"
